#AGE=10.000 EEPS=269
#EEP   M/Mo    LogTeff  LogG   LogL/Lo open    gp1     rp1     ip1     zp1     yp1     wp1     
  86  0.762729  3.7639  4.5023 -0.1729  5.1425  5.4728  5.1280  5.0078  4.9862  4.9822  5.1807
  87  0.766997  3.7656  4.4939 -0.1552  5.1001  5.4241  5.0848  4.9673  4.9471  4.9442  5.1372
  88  0.771189  3.7673  4.4852 -0.1377  5.0581  5.3761  5.0421  4.9271  4.9083  4.9064  5.0941
  89  0.775308  3.7688  4.4764 -0.1204  5.0166  5.3287  5.0000  4.8873  4.8698  4.8690  5.0516
  90  0.779352  3.7703  4.4675 -0.1032  4.9755  5.2821  4.9582  4.8479  4.8316  4.8317  5.0095
  91  0.783326  3.7717  4.4585 -0.0863  4.9348  5.2361  4.9170  4.8089  4.7937  4.7947  4.9679
  92  0.787229  3.7731  4.4493 -0.0695  4.8944  5.1907  4.8761  4.7701  4.7561  4.7579  4.9267
  93  0.791066  3.7744  4.4400 -0.0528  4.8545  5.1458  4.8355  4.7316  4.7187  4.7214  4.8859
  94  0.794835  3.7757  4.4307 -0.0364  4.8148  5.1015  4.7954  4.6935  4.6816  4.6851  4.8454
  95  0.798541  3.7769  4.4214 -0.0200  4.7755  5.0577  4.7556  4.6556  4.6447  4.6490  4.8053
  96  0.802189  3.7781  4.4120 -0.0039  4.7365  5.0143  4.7161  4.6180  4.6081  4.6130  4.7655
  97  0.805781  3.7793  4.4025  0.0122  4.6975  4.9713  4.6766  4.5803  4.5714  4.5770  4.7258
  98  0.809315  3.7804  4.3930  0.0281  4.6589  4.9289  4.6374  4.5428  4.5349  4.5411  4.6865
  99  0.812783  3.7815  4.3835  0.0438  4.6206  4.8870  4.5987  4.5058  4.4987  4.5055  4.6475
 100  0.816178  3.7826  4.3740  0.0594  4.5827  4.8456  4.5603  4.4690  4.4628  4.4702  4.6090
 101  0.819502  3.7836  4.3645  0.0747  4.5453  4.8047  4.5224  4.4327  4.4273  4.4352  4.5709
 102  0.822755  3.7845  4.3549  0.0899  4.5082  4.7644  4.4849  4.3967  4.3921  4.4006  4.5333
 103  0.825932  3.7855  4.3454  0.1049  4.4716  4.7247  4.4479  4.3611  4.3573  4.3663  4.4961
 104  0.829042  3.7864  4.3359  0.1197  4.4354  4.6855  4.4113  4.3260  4.3229  4.3323  4.4593
 105  0.832087  3.7873  4.3263  0.1344  4.3997  4.6469  4.3752  4.2912  4.2888  4.2987  4.4230
 106  0.835073  3.7881  4.3168  0.1488  4.3643  4.6088  4.3395  4.2568  4.2551  4.2654  4.3872
 107  0.838005  3.7889  4.3073  0.1631  4.3294  4.5713  4.3043  4.2228  4.2217  4.2324  4.3518
 108  0.840890  3.7897  4.2977  0.1772  4.2949  4.5343  4.2694  4.1891  4.1887  4.1998  4.3169
 109  0.843726  3.7904  4.2881  0.1911  4.2609  4.4979  4.2351  4.1559  4.1559  4.1674  4.2824
 110  0.846452  3.7911  4.2785  0.2048  4.2273  4.4621  4.2012  4.1231  4.1237  4.1355  4.2484
 111  0.849019  3.7918  4.2692  0.2182  4.1943  4.4268  4.1679  4.0909  4.0921  4.1042  4.2150
 112  0.850036  3.7921  4.2654  0.2236  4.1810  4.4126  4.1545  4.0779  4.0793  4.0916  4.2015
 113  0.851049  3.7923  4.2615  0.2291  4.1676  4.3983  4.1410  4.0648  4.0664  4.0788  4.1880
 114  0.852059  3.7926  4.2575  0.2346  4.1540  4.3839  4.1273  4.0516  4.0533  4.0659  4.1743
 115  0.853064  3.7928  4.2533  0.2402  4.1403  4.3694  4.1135  4.0382  4.0401  4.0527  4.1604
 116  0.854065  3.7930  4.2491  0.2458  4.1265  4.3548  4.0996  4.0246  4.0266  4.0394  4.1464
 117  0.855061  3.7932  4.2447  0.2515  4.1125  4.3402  4.0855  4.0108  4.0130  4.0259  4.1323
 118  0.856054  3.7934  4.2402  0.2573  4.0983  4.3254  4.0713  3.9969  3.9993  4.0122  4.1181
 119  0.857043  3.7936  4.2357  0.2630  4.0841  4.3105  4.0570  3.9829  3.9854  3.9984  4.1037
 120  0.858028  3.7938  4.2310  0.2689  4.0697  4.2955  4.0425  3.9687  3.9713  3.9844  4.0892
 121  0.859009  3.7939  4.2262  0.2747  4.0552  4.2804  4.0280  3.9544  3.9571  3.9703  4.0746
 122  0.859988  3.7941  4.2214  0.2807  4.0406  4.2653  4.0133  3.9400  3.9428  3.9560  4.0599
 123  0.860954  3.7942  4.2165  0.2867  4.0257  4.2499  3.9984  3.9254  3.9282  3.9416  4.0450
 124  0.861920  3.7943  4.2115  0.2927  4.0108  4.2345  3.9835  3.9106  3.9136  3.9270  4.0300
 125  0.862884  3.7945  4.2064  0.2987  3.9958  4.2191  3.9684  3.8958  3.8989  3.9123  4.0149
 126  0.863846  3.7946  4.2012  0.3048  3.9807  4.2036  3.9533  3.8809  3.8840  3.8975  3.9998
 127  0.864805  3.7947  4.1960  0.3109  3.9655  4.1880  3.9381  3.8658  3.8690  3.8825  3.9845
 128  0.865760  3.7947  4.1906  0.3171  3.9502  4.1724  3.9227  3.8506  3.8538  3.8674  3.9692
 129  0.866710  3.7948  4.1851  0.3233  3.9348  4.1567  3.9073  3.8353  3.8385  3.8521  3.9537
 130  0.867657  3.7948  4.1795  0.3295  3.9193  4.1410  3.8918  3.8199  3.8231  3.8367  3.9381
 131  0.868600  3.7948  4.1738  0.3358  3.9036  4.1252  3.8761  3.8043  3.8075  3.8211  3.9225
 132  0.869537  3.7948  4.1679  0.3421  3.8878  4.1094  3.8603  3.7885  3.7917  3.8052  3.9067
 133  0.870469  3.7948  4.1618  0.3484  3.8719  4.0935  3.8444  3.7726  3.7757  3.7892  3.8908
 134  0.871395  3.7947  4.1556  0.3548  3.8559  4.0776  3.8284  3.7565  3.7596  3.7730  3.8748
 135  0.872315  3.7946  4.1493  0.3612  3.8397  4.0617  3.8123  3.7403  3.7433  3.7567  3.8587
 136  0.873229  3.7945  4.1428  0.3677  3.8234  4.0457  3.7961  3.7239  3.7268  3.7401  3.8425
 137  0.874136  3.7944  4.1362  0.3742  3.8070  4.0297  3.7798  3.7074  3.7101  3.7233  3.8262
 138  0.875038  3.7942  4.1293  0.3807  3.7905  4.0136  3.7633  3.6907  3.6933  3.7064  3.8097
 139  0.875932  3.7939  4.1223  0.3873  3.7739  3.9976  3.7468  3.6739  3.6762  3.6892  3.7932
